statename|url|website|activity_level|activity_level_label|weekend|season|weeknumber,,,
Alaska|http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx |Influenza Surveillance Report|1|Minimal|Jun-25-2016|2015-16|25,,,
Arizona|http://www.azdhs.gov/phs/oids/epi/flu/index.htm|Influenza & RSV Surveillance|1|Minimal|Jun-25-2016|2015-16|25,,,
Arkansas|http://www.healthy.arkansas.gov/programs-services/topics/influenza|Communicable Disease and Immunizations|1|Minimal|Jun-25-2016|2015-16|25,,,
California|https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx|Influenza (Flu)|1|Minimal|Jun-25-2016|2015-16|25,,,
Colorado|https://www.colorado.gov/pacific/cdphe/influenza|Influenza Surveillance|1|Minimal|Jun-25-2016|2015-16|25,,,
Connecticut|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|Flu Statistics|1|Minimal|Jun-25-2016|2015-16|25,,,
Delaware|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|Weekly Influenza Surveillance Reports|1|Minimal|Jun-25-2016|2015-16|25,,,
Florida|http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html |Weekly Influenza Surveillance Reports|1|Minimal|Jun-18-2016|2015-16|24,,,
Hawaii|http://health.hawaii.gov/docd/resources/reports/influenza-reports/|Hawaii's Influenza Surveillance Program|1|Minimal|Jun-04-2016|2015-16|22,,,
Hawaii|http://health.hawaii.gov/docd/resources/reports/influenza-reports/|Hawaii's Influenza Surveillance Program|1|Minimal|Jun-11-2016|2015-16|23,,,
Arkansas|http://www.healthy.arkansas.gov/programs-services/topics/influenza|Communicable Disease and Immunizations|1|Minimal|Jun-18-2016|2015-16|24,,,
California|https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx|Influenza (Flu)|1|Minimal|Jun-18-2016|2015-16|24,,,
Colorado|https://www.colorado.gov/pacific/cdphe/influenza|Influenza Surveillance|1|Minimal|Jun-18-2016|2015-16|24,,,
Connecticut|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|Flu Statistics|1|Minimal|Jun-18-2016|2015-16|24,,,
Delaware|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|Weekly Influenza Surveillance Reports|1|Minimal|Jun-18-2016|2015-16|24,,,
Texas|http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/|Influenza Surveillance|1|Minimal|Jun-18-2016|2015-16|24,,,
Utah|http://health.utah.gov/epi/diseases/influenza/surveillance/index.html|Seasonal Influenza Weekly Update|1|Minimal|Jun-18-2016|2015-16|24,,,
Vermont|http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance|Flu Activity|1|Minimal|Jun-18-2016|2015-16|24,,,
Virginia|http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/|Virginia Weekly Influenza Activity Report|1|Minimal|Jun-18-2016|2015-16|24,,,
Washington|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|Influenza Update|1|Minimal|Jun-18-2016|2015-16|24,,,
West Virginia|http://www.dhhr.wv.gov/oeps/disease/flu/Pages/fluSurveillance.aspx|Current Influenza Surveillance|1|Minimal|Jun-18-2016|2015-16|24,,,
Wisconsin|http://www.dhs.wisconsin.gov/communicable/influenza/index.htm|Tracking Influenza in Wisconsin|1|Minimal|Jun-18-2016|2015-16|24,,,
Wyoming|https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/|Influenza|1|Minimal|Jun-18-2016|2015-16|24,,,
Illinois|http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance#publications|Seasonal Influenza Surveillance Reports|1|Minimal|Jun-25-2016|2015-16|25,,,
Indiana|http://www.in.gov/isdh/22104.htm|Influenza in Indiana|1|Minimal|Jun-25-2016|2015-16|25,,,
Iowa|http://idph.iowa.gov/influenza/surveillance|Iowa Influenza Surveillance Network|1|Minimal|Jun-25-2016|2015-16|25,,,
Kansas|http://www.kdheks.gov/flu/surveillance.htm|Influenza Information|1|Minimal|Jun-25-2016|2015-16|25,,,
Kentucky|https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx|Influenza - Flu|1|Minimal|Jun-25-2016|2015-16|25,,,
Louisiana|http://new.dhh.louisiana.gov/index.cfm/page/1591|Influenza|1|Minimal|Jun-25-2016|2015-16|25,,,
Maine|http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml|Weekly Surveillance Updates|1|Minimal|Jun-25-2016|2015-16|25,,,
Maryland|https://phpa.health.maryland.gov/influenza/fluwatch|Influenza Surveillance|1|Minimal|Jun-25-2016|2015-16|25,,,
Massachusetts|https://www.mass.gov/influenza|Influenza Surveillance Data|1|Minimal|Jun-25-2016|2015-16|25,,,
Michigan|http://www.michigan.gov/mdch/0,1607,7-132-2940_2955_22779_40563_48357-191722--,00.html|Influenza Activity and Surveillance|1|Minimal|Jun-25-2016|2015-16|25
Minnesota|http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html|Weekly Influenza Activity: Statistics|1|Minimal|Jun-25-2016|2015-16|25,,,
Mississippi|http://www.msdh.state.ms.us/msdhsite/_static/14,0,199,230.html|Mississippi Flu Surveillance and Influenza-Like Illness Reports|1|Minimal|Jun-25-2016|2015-16|25
Missouri|http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php|Influenza Data & Statistical Reports |1|Minimal|Jun-25-2016|2015-16|25,,,
Montana|http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx|Influenza: What You Need to Know|1|Minimal|Jun-25-2016|2015-16|25,,,
Nebraska|http://dhhs.ne.gov/publichealth/Pages/flu.aspx|Weekly Flu Report|1|Minimal|Jun-25-2016|2015-16|25,,,
Nevada|http://dpbh.nv.gov/Programs/OPHIE/dta/Publications/Public_Health_Informatics_and_Epidemiology_(OPHIE)_-_Publications/|Influenza (Flu): Surveillance, News Releases and Brochures|1|Minimal|Jun-25-2016|2015-16|25,,
New Hampshire|http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm|Influenza Control and Surveillance|1|Minimal|Jun-25-2016|2015-16|25,,,
New Jersey|http://www.nj.gov/health/cd/topics/flu.shtml|Seasonal Influenza - Surveillance|1|Minimal|Jun-25-2016|2015-16|25,,,
New Mexico|https://nmhealth.org/about/erd/ideb/isp/|Flu in New Mexico|1|Minimal|Jun-25-2016|2015-16|25,,,
New York|http://www.health.ny.gov/diseases/communicable/influenza/surveillance/|Influenza Activity, Surveillance and Reports|1|Minimal|Jun-25-2016|2015-16|25,,
North Carolina|http://www.flu.nc.gov/ |North Carolina Influenza Update|1|Minimal|Jun-25-2016|2015-16|25,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|1|Minimal|Jun-25-2016|2015-16|25,,,
Ohio|http://www.flu.ohio.gov |Influenza Information|1|Minimal|Jun-25-2016|2015-16|25,,,
Oklahoma|https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html|Influenza Information|1|Minimal|Jun-25-2016|2015-16|25,,,
Oregon|http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx|Influenza Disease Surveillance Data|1|Minimal|Jun-25-2016|2015-16|25,,,
Pennsylvania|http://www.flufreepa.com|Influenza Weekly Report |1|Minimal|Jun-25-2016|2015-16|25,,,
Rhode Island|http://www.health.ri.gov/data/flu/index.php|Influenza Surveillance|1|Minimal|Jun-25-2016|2015-16|25,,,
South Carolina|http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/|Influenza Activity and Surveillance|1|Minimal|Jun-25-2016|2015-16|25,,,
South Dakota|http://doh.sd.gov/diseases/infectious/flu/default.aspx|Influenza Information|1|Minimal|Jun-25-2016|2015-16|25,,,
Tennessee|http://www.tn.gov/health/cedep/immunization-program/ip/flu-in-tennessee.html|Influenza-Like Illness Surveillance Summary Archive|1|Minimal|Jun-25-2016|2015-16|25,,,
Texas|http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/|Influenza Surveillance|1|Minimal|Jun-25-2016|2015-16|25,,,
Utah|http://health.utah.gov/epi/diseases/influenza/surveillance/index.html|Seasonal Influenza Weekly Update|1|Minimal|Jun-25-2016|2015-16|25,,,
Vermont|http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance|Flu Activity|1|Minimal|Jun-25-2016|2015-16|25,,,
Virginia|http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/|Virginia Weekly Influenza Activity Report|1|Minimal|Jun-25-2016|2015-16|25,,,
Washington|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|Influenza Update|1|Minimal|Jun-25-2016|2015-16|25,,,
West Virginia|http://www.dhhr.wv.gov/oeps/disease/flu/Pages/fluSurveillance.aspx|Current Influenza Surveillance|1|Minimal|Jun-25-2016|2015-16|25,,,
Wisconsin|http://www.dhs.wisconsin.gov/communicable/influenza/index.htm|Tracking Influenza in Wisconsin|1|Minimal|Jun-25-2016|2015-16|25,,,
Wyoming|https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/|Influenza|1|Minimal|Jun-25-2016|2015-16|25,,,
New York City|http://www1.nyc.gov/site/doh/providers/health-topics/flu-alerts.page|Surveillance Data|1|Minimal|Jun-11-2016|2015-16|23,,,
Alabama|http://adph.org/influenza/|Influenza Surveillance|1|Minimal|Jun-18-2016|2015-16|24,,,
Alaska|http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx |Influenza Surveillance Report|1|Minimal|Jun-18-2016|2015-16|24,,,
Florida|http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html |Weekly Influenza Surveillance Reports|1|Minimal|Jun-11-2016|2015-16|23,,,
Florida|http://www.floridahealth.gov/diseases-and-conditions/influenza/index.html |Weekly Influenza Surveillance Reports|1|Minimal|Jun-04-2016|2015-16|22,,,
Texas|http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/|Influenza Surveillance|1|Minimal|Jun-11-2016|2015-16|23,,,
Utah|http://health.utah.gov/epi/diseases/influenza/surveillance/index.html|Seasonal Influenza Weekly Update|1|Minimal|Jun-11-2016|2015-16|23,,,
Vermont|http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance|Flu Activity|1|Minimal|Jun-11-2016|2015-16|23,,,
Virginia|http://www.vdh.virginia.gov/epidemiology/influenza-flu-in-virginia/influenza-surveillance/|Virginia Weekly Influenza Activity Report|1|Minimal|Jun-11-2016|2015-16|23,,,
Washington|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|Influenza Update|1|Minimal|Jun-11-2016|2015-16|23,,,
West Virginia|http://www.dhhr.wv.gov/oeps/disease/flu/Pages/fluSurveillance.aspx|Current Influenza Surveillance|1|Minimal|Jun-11-2016|2015-16|23,,,
Wisconsin|http://www.dhs.wisconsin.gov/communicable/influenza/index.htm|Tracking Influenza in Wisconsin|1|Minimal|Jun-11-2016|2015-16|23,,,
Wyoming|https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/|Influenza|1|Minimal|Jun-11-2016|2015-16|23,,,
Illinois|http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance#publications|Seasonal Influenza Surveillance Reports|1|Minimal|Jun-11-2016|2015-16|23,,,
Indiana|http://www.in.gov/isdh/22104.htm|Influenza in Indiana|1|Minimal|Jun-11-2016|2015-16|23,,,
Iowa|http://idph.iowa.gov/influenza/surveillance|Iowa Influenza Surveillance Network|1|Minimal|Jun-11-2016|2015-16|23,,,
Kansas|http://www.kdheks.gov/flu/surveillance.htm|Influenza Information|1|Minimal|Jun-11-2016|2015-16|23,,,
Kentucky|https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx|Influenza - Flu|1|Minimal|Jun-11-2016|2015-16|23,,,
Louisiana|http://new.dhh.louisiana.gov/index.cfm/page/1591|Influenza|1|Minimal|Jun-11-2016|2015-16|23,,,
Maine|http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml|Weekly Surveillance Updates|1|Minimal|Jun-11-2016|2015-16|23,,,
Maryland|https://phpa.health.maryland.gov/influenza/fluwatch|Influenza Surveillance|1|Minimal|Jun-11-2016|2015-16|23,,,
Massachusetts|https://www.mass.gov/influenza|Influenza Surveillance Data|1|Minimal|Jun-11-2016|2015-16|23,,,
Michigan|http://www.michigan.gov/mdch/0,1607,7-132-2940_2955_22779_40563_48357-191722--,00.html|Influenza Activity and Surveillance|1|Minimal|Jun-11-2016|2015-16|23
Minnesota|http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html|Weekly Influenza Activity: Statistics|1|Minimal|Jun-11-2016|2015-16|23,,,
Mississippi|http://www.msdh.state.ms.us/msdhsite/_static/14,0,199,230.html|Mississippi Flu Surveillance and Influenza-Like Illness Reports|1|Minimal|Jun-11-2016|2015-16|23
Missouri|http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php|Influenza Data & Statistical Reports |1|Minimal|Jun-11-2016|2015-16|23,,,
Montana|http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx|Influenza: What You Need to Know|1|Minimal|Jun-11-2016|2015-16|23,,,
Nebraska|http://dhhs.ne.gov/publichealth/Pages/flu.aspx|Weekly Flu Report|1|Minimal|Jun-11-2016|2015-16|23,,,
Nevada|http://dpbh.nv.gov/Programs/OPHIE/dta/Publications/Public_Health_Informatics_and_Epidemiology_(OPHIE)_-_Publications/|Influenza (Flu): Surveillance, News Releases and Brochures|1|Minimal|Jun-11-2016|2015-16|23,,
New Hampshire|http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm|Influenza Control and Surveillance|1|Minimal|Jun-11-2016|2015-16|23,,,
New Jersey|http://www.nj.gov/health/cd/topics/flu.shtml|Seasonal Influenza - Surveillance|1|Minimal|Jun-11-2016|2015-16|23,,,
New Mexico|https://nmhealth.org/about/erd/ideb/isp/|Flu in New Mexico|1|Minimal|Jun-11-2016|2015-16|23,,,
New York|http://www.health.ny.gov/diseases/communicable/influenza/surveillance/|Influenza Activity, Surveillance and Reports|1|Minimal|Jun-11-2016|2015-16|23,,
North Carolina|http://www.flu.nc.gov/ |North Carolina Influenza Update|1|Minimal|Jun-11-2016|2015-16|23,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|1|Minimal|Jun-11-2016|2015-16|23,,,
Ohio|http://www.flu.ohio.gov |Influenza Information|1|Minimal|Jun-11-2016|2015-16|23,,,
Oklahoma|https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html|Influenza Information|1|Minimal|Jun-11-2016|2015-16|23,,,
Oregon|http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx|Influenza Disease Surveillance Data|1|Minimal|Jun-11-2016|2015-16|23,,,
Pennsylvania|http://www.flufreepa.com|Influenza Weekly Report |1|Minimal|Jun-11-2016|2015-16|23,,,
Rhode Island|http://www.health.ri.gov/data/flu/index.php|Influenza Surveillance|1|Minimal|Jun-11-2016|2015-16|23,,,
South Carolina|http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/|Influenza Activity and Surveillance|1|Minimal|Jun-11-2016|2015-16|23,,,
South Dakota|http://doh.sd.gov/diseases/infectious/flu/default.aspx|Influenza Information|1|Minimal|Jun-11-2016|2015-16|23,,,
Hawaii|http://health.hawaii.gov/docd/resources/reports/influenza-reports/|Hawaii's Influenza Surveillance Program|1|Minimal|Jun-18-2016|2015-16|24,,,
Idaho|http://flu.idaho.gov|Influenza|1|Minimal|Jun-18-2016|2015-16|24,,,
Illinois|http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance#publications|Seasonal Influenza Surveillance Reports|1|Minimal|Jun-18-2016|2015-16|24,,,
Indiana|http://www.in.gov/isdh/22104.htm|Influenza in Indiana|1|Minimal|Jun-18-2016|2015-16|24,,,
Iowa|http://idph.iowa.gov/influenza/surveillance|Iowa Influenza Surveillance Network|1|Minimal|Jun-18-2016|2015-16|24,,,
Kansas|http://www.kdheks.gov/flu/surveillance.htm|Influenza Information|1|Minimal|Jun-18-2016|2015-16|24,,,
Kentucky|https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx|Influenza - Flu|1|Minimal|Jun-18-2016|2015-16|24,,,
Louisiana|http://new.dhh.louisiana.gov/index.cfm/page/1591|Influenza|1|Minimal|Jun-18-2016|2015-16|24,,,
Maine|http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml|Weekly Surveillance Updates|1|Minimal|Jun-18-2016|2015-16|24,,,
Maryland|https://phpa.health.maryland.gov/influenza/fluwatch|Influenza Surveillance|1|Minimal|Jun-18-2016|2015-16|24,,,
Massachusetts|https://www.mass.gov/influenza|Influenza Surveillance Data|1|Minimal|Jun-18-2016|2015-16|24,,,
Michigan|http://www.michigan.gov/mdch/0,1607,7-132-2940_2955_22779_40563_48357-191722--,00.html|Influenza Activity and Surveillance|1|Minimal|Jun-18-2016|2015-16|24
Minnesota|http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html|Weekly Influenza Activity: Statistics|1|Minimal|Jun-18-2016|2015-16|24,,,
Mississippi|http://www.msdh.state.ms.us/msdhsite/_static/14,0,199,230.html|Mississippi Flu Surveillance and Influenza-Like Illness Reports|1|Minimal|Jun-18-2016|2015-16|24
Missouri|http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php|Influenza Data & Statistical Reports |1|Minimal|Jun-18-2016|2015-16|24,,,
Montana|http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx|Influenza: What You Need to Know|1|Minimal|Jun-18-2016|2015-16|24,,,
Nebraska|http://dhhs.ne.gov/publichealth/Pages/flu.aspx|Weekly Flu Report|1|Minimal|Jun-18-2016|2015-16|24,,,
Nevada|http://dpbh.nv.gov/Programs/OPHIE/dta/Publications/Public_Health_Informatics_and_Epidemiology_(OPHIE)_-_Publications/|Influenza (Flu): Surveillance, News Releases and Brochures|1|Minimal|Jun-18-2016|2015-16|24,,
New Hampshire|http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm|Influenza Control and Surveillance|1|Minimal|Jun-18-2016|2015-16|24,,,
New Jersey|http://www.nj.gov/health/cd/topics/flu.shtml|Seasonal Influenza - Surveillance|1|Minimal|Jun-18-2016|2015-16|24,,,
New Mexico|https://nmhealth.org/about/erd/ideb/isp/|Flu in New Mexico|1|Minimal|Jun-18-2016|2015-16|24,,,
New York|http://www.health.ny.gov/diseases/communicable/influenza/surveillance/|Influenza Activity, Surveillance and Reports|1|Minimal|Jun-18-2016|2015-16|24,,
North Carolina|http://www.flu.nc.gov/ |North Carolina Influenza Update|1|Minimal|Jun-18-2016|2015-16|24,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|1|Minimal|Jun-18-2016|2015-16|24,,,
Ohio|http://www.flu.ohio.gov |Influenza Information|1|Minimal|Jun-18-2016|2015-16|24,,,
Oklahoma|https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html|Influenza Information|1|Minimal|Jun-18-2016|2015-16|24,,,
Oregon|http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx|Influenza Disease Surveillance Data|1|Minimal|Jun-18-2016|2015-16|24,,,
Pennsylvania|http://www.flufreepa.com|Influenza Weekly Report |1|Minimal|Jun-18-2016|2015-16|24,,,
Rhode Island|http://www.health.ri.gov/data/flu/index.php|Influenza Surveillance|1|Minimal|Jun-18-2016|2015-16|24,,,
South Carolina|http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/|Influenza Activity and Surveillance|1|Minimal|Jun-18-2016|2015-16|24,,,
South Dakota|http://doh.sd.gov/diseases/infectious/flu/default.aspx|Influenza Information|1|Minimal|Jun-18-2016|2015-16|24,,,
New York City|http://www1.nyc.gov/site/doh/providers/health-topics/flu-alerts.page|Surveillance Data|1|Minimal|Jun-04-2016|2015-16|22,,,
Alabama|http://adph.org/influenza/|Influenza Surveillance|1|Minimal|Jun-11-2016|2015-16|23,,,
Alaska|http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx |Influenza Surveillance Report|1|Minimal|Jun-11-2016|2015-16|23,,,
Arkansas|http://www.healthy.arkansas.gov/programs-services/topics/influenza|Communicable Disease and Immunizations|1|Minimal|Jun-11-2016|2015-16|23,,,
California|https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx|Influenza (Flu)|1|Minimal|Jun-11-2016|2015-16|23,,,
Colorado|https://www.colorado.gov/pacific/cdphe/influenza|Influenza Surveillance|1|Minimal|Jun-11-2016|2015-16|23,,,
Connecticut|http://www.portal.ct.gov/DPH/Infectious-Diseases/Flu/Influenza-Surveillance-and-Statistics|Flu Statistics|1|Minimal|Jun-11-2016|2015-16|23,,,
Delaware|http://dhss.delaware.gov/dhss/dph/epi/influenzawkly.html|Weekly Influenza Surveillance Reports|1|Minimal|Jun-11-2016|2015-16|23,,,
Texas|http://www.dshs.state.tx.us/idcu/disease/influenza/surveillance/|Influenza Surveillance|1|Minimal|Jun-04-2016|2015-16|22,,,
Utah|http://health.utah.gov/epi/diseases/influenza/surveillance/index.html|Seasonal Influenza Weekly Update|1|Minimal|Jun-04-2016|2015-16|22,,,
Vermont|http://www.healthvermont.gov/immunizations-infectious-disease/influenza/flu-activity-and-surveillance|Flu Activity|1|Minimal|Jun-04-2016|2015-16|22,,,
Washington|http://www.doh.wa.gov/DataandStatisticalReports/DiseasesandChronicConditions/CommunicableDiseaseSurveillanceData/InfluenzaSurveillanceData|Influenza Update|1|Minimal|Jun-04-2016|2015-16|22,,,
West Virginia|http://www.dhhr.wv.gov/oeps/disease/flu/Pages/fluSurveillance.aspx|Current Influenza Surveillance|1|Minimal|Jun-04-2016|2015-16|22,,,
Wisconsin|http://www.dhs.wisconsin.gov/communicable/influenza/index.htm|Tracking Influenza in Wisconsin|1|Minimal|Jun-04-2016|2015-16|22,,,
Wyoming|https://health.wyo.gov/publichealth/infectious-disease-epidemiology-unit/disease/influenza/|Influenza|1|Minimal|Jun-04-2016|2015-16|22,,,
Massachusetts|https://www.mass.gov/influenza|Influenza Surveillance Data|1|Minimal|Jun-04-2016|2015-16|22,,,
Michigan|http://www.michigan.gov/mdch/0,1607,7-132-2940_2955_22779_40563_48357-191722--,00.html|Influenza Activity and Surveillance|1|Minimal|Jun-04-2016|2015-16|22
Minnesota|http://www.health.state.mn.us/divs/idepc/diseases/flu/stats/index.html|Weekly Influenza Activity: Statistics|1|Minimal|Jun-04-2016|2015-16|22,,,
Mississippi|http://www.msdh.state.ms.us/msdhsite/_static/14,0,199,230.html|Mississippi Flu Surveillance and Influenza-Like Illness Reports|1|Minimal|Jun-04-2016|2015-16|22
Missouri|http://health.mo.gov/living/healthcondiseases/communicable/influenza/reports.php|Influenza Data & Statistical Reports |1|Minimal|Jun-04-2016|2015-16|22,,,
Montana|http://dphhs.mt.gov/publichealth/cdepi/diseases/influenza.aspx|Influenza: What You Need to Know|1|Minimal|Jun-04-2016|2015-16|22,,,
Nebraska|http://dhhs.ne.gov/publichealth/Pages/flu.aspx|Weekly Flu Report|1|Minimal|Jun-04-2016|2015-16|22,,,
Nevada|http://dpbh.nv.gov/Programs/OPHIE/dta/Publications/Public_Health_Informatics_and_Epidemiology_(OPHIE)_-_Publications/|Influenza (Flu): Surveillance, News Releases and Brochures|1|Minimal|Jun-04-2016|2015-16|22,,
New Hampshire|http://www.dhhs.nh.gov/dphs/cdcs/influenza/activity.htm|Influenza Control and Surveillance|1|Minimal|Jun-04-2016|2015-16|22,,,
New Jersey|http://www.nj.gov/health/cd/topics/flu.shtml|Seasonal Influenza - Surveillance|1|Minimal|Jun-04-2016|2015-16|22,,,
New Mexico|https://nmhealth.org/about/erd/ideb/isp/|Flu in New Mexico|1|Minimal|Jun-04-2016|2015-16|22,,,
New York|http://www.health.ny.gov/diseases/communicable/influenza/surveillance/|Influenza Activity, Surveillance and Reports|1|Minimal|Jun-04-2016|2015-16|22,,
North Carolina|http://www.flu.nc.gov/ |North Carolina Influenza Update|1|Minimal|Jun-04-2016|2015-16|22,,,
North Dakota|http://www.ndflu.com/default.aspx|Influenza|1|Minimal|Jun-04-2016|2015-16|22,,,
Ohio|http://www.flu.ohio.gov |Influenza Information|1|Minimal|Jun-04-2016|2015-16|22,,,
Oklahoma|https://www.ok.gov/health/Prevention_and_Preparedness/Acute_Disease_Service/Disease_Information/OK_Flu_View.html|Influenza Information|1|Minimal|Jun-04-2016|2015-16|22,,,
Oregon|http://public.health.oregon.gov/DiseasesConditions/CommunicableDisease/DiseaseSurveillanceData/Influenza/Pages/surveil.aspx|Influenza Disease Surveillance Data|1|Minimal|Jun-04-2016|2015-16|22,,,
Pennsylvania|http://www.flufreepa.com|Influenza Weekly Report |1|Minimal|Jun-04-2016|2015-16|22,,,
Rhode Island|http://www.health.ri.gov/data/flu/index.php|Influenza Surveillance|1|Minimal|Jun-04-2016|2015-16|22,,,
South Carolina|http://www.scdhec.gov/Health/DiseasesandConditions/InfectiousDiseases/Flu/FluData/|Influenza Activity and Surveillance|1|Minimal|Jun-04-2016|2015-16|22,,,
South Dakota|http://doh.sd.gov/diseases/infectious/flu/default.aspx|Influenza Information|1|Minimal|Jun-04-2016|2015-16|22,,,
Illinois|http://dph.illinois.gov/topics-services/diseases-and-conditions/influenza/influenza-surveillance#publications|Seasonal Influenza Surveillance Reports|1|Minimal|Jun-04-2016|2015-16|22,,,
Indiana|http://www.in.gov/isdh/22104.htm|Influenza in Indiana|1|Minimal|Jun-04-2016|2015-16|22,,,
Iowa|http://idph.iowa.gov/influenza/surveillance|Iowa Influenza Surveillance Network|1|Minimal|Jun-04-2016|2015-16|22,,,
Kansas|http://www.kdheks.gov/flu/surveillance.htm|Influenza Information|1|Minimal|Jun-04-2016|2015-16|22,,,
Kentucky|https://chfs.ky.gov/agencies/dph/dehp/idb/Pages/influenza.aspx|Influenza - Flu|1|Minimal|Jun-04-2016|2015-16|22,,,
Louisiana|http://new.dhh.louisiana.gov/index.cfm/page/1591|Influenza|1|Minimal|Jun-04-2016|2015-16|22,,,
Maine|http://www.maine.gov/dhhs/mecdc/infectious-disease/epi/influenza/influenza-surveillance-weekly-updates.shtml|Weekly Surveillance Updates|1|Minimal|Jun-04-2016|2015-16|22,,,
Alabama|http://adph.org/influenza/|Influenza Surveillance|1|Minimal|Jun-04-2016|2015-16|22,,,
Alaska|http://dhss.alaska.gov/dph/Epi/id/Pages/influenza/influenza.aspx |Influenza Surveillance Report|1|Minimal|Jun-04-2016|2015-16|22,,,
Arkansas|http://www.healthy.arkansas.gov/programs-services/topics/influenza|Communicable Disease and Immunizations|1|Minimal|Jun-04-2016|2015-16|22,,,
California|https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/Immunization/Influenza.aspx|Influenza (Flu)|1|Minimal|Jun-04-2016|2015-16|22,,,
